district_code,district_name_w_charters,district_name_x,total_#_of_classes,average_class_size,number_of_students,african_american_%,asian_%,hispanic_%,white_%,native_american_%,"native_hawaiian,_pacific_islander_%","multi-race,_non-hispanic_%",tests_taken_x,score=1_x,score=2_x,score=3_x,score=4_x,score=5_x,%_score_1-2_x,%_score_3-5_x,tests_taken_y,score=1_y,score=2_y,score=3_y,score=4_y,score=5_y,%_score_1-2_y,%_score_3-5_y,tests_takers,tests_taken_x,one_test,two_tests,three_tests,four_tests,five_or_more_tests,high_school_graduates_(#),attending_coll./univ._(#),attending_coll./univ._(%),private_two-year_(%),private_four-year_(%),public_two-year_(%),public_four-year_(%),ma_community_college_(%),ma_state_university_(%),univ.of_mass._(%),tests_taken_y,reading_/_writing,writing,math,#_in_cohort,%_graduated,%_still_in_school,%_non-grad_completers,%_h.s._equiv.,%_dropped_out,%_permanently_excluded
720000,Dartmouth,Dartmouth,"1,905",16.4,"3,431",1.8,0.6,5.5,85.5,0,0,6.7,600,44,179,202,120,55,37.2,62.8,600,44,179,202,120,55,37.2,62.8,283,600,111,78,56,27,11,252,203,80.6,0,29.1,17.2,53.7,16.3,8.9,28.1,113,572,,559,268,91.8,4.9,0,0,3.4,0
730000,Dedham,Dedham,"1,236",14.7,"2,564",7.4,2.2,16.4,68.6,0,0,5.3,333,68,86,99,51,29,46.2,53.8,333,68,86,99,51,29,46.2,53.8,209,333,127,56,15,7,4,199,149,74.9,0,40.3,13.4,46.3,12.8,12.1,22.8,92,578,,586,205,93.2,3.9,0,0,2.9,0
740000,Deerfield,,265,13.4,315,0.3,0.3,6.7,84.4,0,0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6450000,Dennis-Yarmouth,Dennis-Yarmouth,"1,454",12.6,"2,788",10.4,2.7,13.2,65,1.9,0.2,6.6,268,31,65,86,55,31,35.8,64.2,268,31,65,86,55,31,35.8,64.2,139,268,57,45,27,10,0,191,112,58.6,0,27.7,32.1,40.2,32.1,13.4,16.1,56,558,,531,199,92.5,3,0,0.5,4,0
6500000,Dighton-Rehoboth,Dighton-Rehoboth,"1,406",18.8,"2,616",1.6,1.3,4.4,88.8,0.1,0,3.7,247,28,59,68,68,24,35.2,64.8,247,28,59,68,68,24,35.2,64.8,118,247,46,35,22,10,5,176,123,69.9,0,39,19.5,41.5,18.7,8.1,18.7,219,549,,537,190,92.1,4.2,1.1,0,2.6,0
770000,Douglas,Douglas,564,18.1,"1,181",0.7,0.8,5.3,89.8,0,0.2,3.3,138,26,46,43,13,10,52.2,47.8,138,26,46,43,13,10,52.2,47.8,64,138,23,16,18,6,1,98,68,69.4,0,32.4,20.6,47.1,19.1,22.1,11.8,46,560,,535,109,89,7.3,0,0.9,2.8,0
780000,Dover,,164,17.4,491,3.3,14.9,4.1,72.7,0,0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6550000,Dover-Sherborn,Dover-Sherborn,679,16.9,"1,181",3.1,11.6,5,73.8,0.3,0,6.3,550,2,29,148,179,192,5.6,94.4,550,2,29,148,179,192,5.6,94.4,220,550,42,78,62,26,12,166,131,78.9,0,77.1,0.8,22.1,0.8,3.1,6.9,206,631,,642,168,96.4,3.6,0,0,0,0
790000,Dracut,Dracut,"2,220",14.5,"3,675",7.4,7.9,12.3,70.3,0.3,0,1.9,184,25,63,45,37,14,47.8,52.2,184,25,63,45,37,14,47.8,52.2,122,184,78,30,11,2,1,197,145,73.6,0,33.8,23.4,42.8,22.8,10.3,25.5,157,519,,512,211,92.4,4.3,1.9,0,1.4,0
4070000,Dudley Street Neighborhood Charter School (District),,15,21,277,61.7,0.7,33.6,2.9,0.4,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6580000,Dudley-Charlton Reg,Dudley-Charlton Reg,"1,629",17.1,"3,474",1.7,1,9.7,84.3,0.2,0.1,3.1,476,101,138,141,55,41,50.2,49.8,476,101,138,141,55,41,50.2,49.8,265,476,132,74,43,13,3,269,195,72.5,0,42.1,19.5,38.5,16.9,17.9,11.3,218,568,,569,274,94.9,1.5,0,0.7,2.9,0
820000,Duxbury,Duxbury,"1,444",19,"2,810",0.5,1.3,2.6,91.7,0.1,0,3.8,682,82,140,179,172,109,32.6,67.4,682,82,140,179,172,109,32.6,67.4,323,682,130,84,65,32,12,255,207,81.2,0,54.6,1.4,44,1,2.9,14.5,344,592,,572,256,99.2,0.8,0,0,0,0
830000,East Bridgewater,East Bridgewater,"1,107",19,"2,126",4.5,0.8,3.7,87.5,0.5,0.1,3,285,57,119,54,38,17,61.8,38.2,285,57,119,54,38,17,61.8,38.2,136,285,40,55,29,12,0,169,124,73.4,0,31.5,13.7,54.8,13.7,21.8,21.8,75,556,,521,167,98.8,1.2,0,0,0,0
870000,East Longmeadow,East Longmeadow,"1,288",17.4,"2,426",3.5,5.9,9.8,77.4,0,0,3.4,257,27,53,78,61,38,31.1,68.9,257,27,53,78,61,38,31.1,68.9,155,257,84,42,27,2,0,222,156,70.3,0.6,48.7,26.3,24.4,22.4,6.4,10.9,115,569,,572,227,97.4,0.9,0,0,1.8,0
850000,Eastham,,190,10.2,194,8.3,2.1,5.7,76.3,0,0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860000,Easthampton,Easthampton,521,20.2,"1,453",1.4,3.2,14,77.1,0.3,0.1,3.9,154,44,52,33,18,7,62.3,37.7,154,44,52,33,18,7,62.3,37.7,115,154,84,23,8,0,0,118,73,61.9,0,28.8,50.7,20.5,46.6,13.7,1.4,33,534,,504,124,91.1,2.4,3.2,0,3.2,0
880000,Easton,Easton,"1,257",18,"3,454",7.3,3.4,6.9,78.1,0.4,0.1,3.9,529,64,136,149,112,68,37.8,62.2,529,64,136,149,112,68,37.8,62.2,267,529,108,90,45,17,7,260,217,83.5,0,41,5.5,53.5,5.5,13.8,20.7,340,577,,567,275,94.5,4.7,0,0,0.7,0
890000,Edgartown,,353,13.4,393,3.3,0.5,20.9,68.2,2.5,0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4520000,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),212,19.9,401,37.7,1.3,55.6,2.7,0.3,0,2.5,73,48,24,1,0,0,98.6,1.4,73,48,24,1,0,0,98.6,1.4,62,73,51,11,0,0,0,83,62,74.7,0,22.6,40.3,37.1,40.3,6.5,25.8,87,429,,425,84,97.6,2.4,0,0,0,0
910000,Erving,,36,12.4,113,0,0,6.2,84.1,0,0,9.7,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
8170000,Essex North Shore Agricultural and Technical School District,Essex North Shore Agricultural and Technical School District,"1,150",16.9,"1,566",1.6,1.7,13.2,79.3,0.3,0.1,3.9,149,21,34,49,30,15,36.9,63.1,149,21,34,49,30,15,36.9,63.1,113,149,82,26,5,0,0,332,201,60.5,0,38.3,15.4,46.3,13.9,15.4,14.4,203,544,,519,333,99.7,0,0,0.3,0,0
930000,Everett,Everett,"3,499",20,"7,204",14.9,5.5,60.2,17.6,0.3,0.1,1.5,355,134,110,66,33,12,68.7,31.3,355,134,110,66,33,12,68.7,31.3,221,355,125,64,27,4,1,424,190,44.8,0,35.3,18.9,45.8,18.4,16.8,27.9,52,510,,495,550,75.5,7.5,5.5,0,11.6,0
4100000,Excel Academy Charter (District),Excel Academy Charter (District),366,24.3,"1,398",6,0.9,79.5,11.8,0.7,0.4,0.6,602,291,175,79,36,21,77.4,22.6,602,291,175,79,36,21,77.4,22.6,310,602,123,103,64,19,1,145,97,66.9,0,44.3,11.3,44.3,11.3,13.4,29.9,142,465,,474,145,95.2,0.7,0,1.4,2.8,0
940000,Fairhaven,Fairhaven,"1,085",8.2,"1,713",2.6,1.9,5.6,85.6,0.8,0,3.6,314,19,88,104,78,25,34.1,65.9,314,19,88,104,78,25,34.1,65.9,180,314,76,77,24,3,0,160,112,70,0,14.3,33.9,51.8,33.9,17.9,25,53,575,,591,164,95.1,2.4,0,0,2.4,0
950000,Fall River,Fall River,"5,358",14.3,"10,333",9.5,3.5,30,48,0.1,0.1,8.9,487,123,154,148,52,10,56.9,43.1,487,123,154,148,52,10,56.9,43.1,248,487,109,71,41,22,5,467,194,41.5,0,17,47.9,35.1,47.4,13.4,17.5,154,518,,510,644,71.4,4.5,9,1.6,13.5,0
960000,Falmouth,Falmouth,"1,717",14.8,"3,019",5.1,1.8,7.6,78,0.9,0,6.6,230,36,47,66,56,25,36.1,63.9,230,36,47,66,56,25,36.1,63.9,113,230,46,33,20,12,2,197,145,73.6,0,42.1,11.7,46.2,11.7,14.5,22.1,110,583,,570,219,90,2.7,0,1.8,5.5,0
6620000,Farmington River Reg,,76,13.8,118,0,0,4.2,95.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970000,Fitchburg,Fitchburg,"2,455",18.6,"5,193",6.3,4.3,55.9,25.8,0,0,7.7,494,245,134,66,35,14,76.7,23.3,494,245,134,66,35,14,76.7,23.3,234,494,113,41,37,28,15,383,124,32.4,0,18.5,33.9,47.6,33.9,31.5,11.3,105,520,,502,376,87.2,6.1,0.8,0.5,5.3,0
980000,Florida,,89,9.2,86,2.3,0,0,97.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130000,Four Rivers Charter Public (District),,187,17.2,215,0.9,1.4,7.4,83.3,0.5,0,6.5,,,,,,,,,,,,,,,,,,,,,,,,31,18,58.1,0,27.8,44.4,27.8,44.4,11.1,11.1,,,,,37,83.8,2.7,0,5.4,8.1,0
990000,Foxborough,Foxborough,"1,332",16.7,"2,426",6.7,4.5,6.9,78.1,0.4,0.1,3.3,426,34,107,109,110,66,33.1,66.9,426,34,107,109,110,66,33.1,66.9,206,426,85,51,47,17,6,208,165,79.3,0,41.2,8.5,49.1,7.3,12.1,15.2,198,554,,568,216,95.8,3.7,0,0,0.5,0
4460000,Foxborough Regional Charter (District),Foxborough Regional Charter (District),687,20.2,"1,687",51.7,9.7,6.1,27.2,0.1,0.2,5,176,27,45,54,39,11,40.9,59.1,176,27,45,54,39,11,40.9,59.1,106,176,54,35,16,1,0,63,51,81,0,35.3,23.5,41.2,21.6,5.9,25.5,50,560,,534,61,100,0,0,0,0,0
1000000,Framingham,Framingham,"6,754",12.4,"8,862",6.9,4.4,37.9,46.3,0.1,0.1,4.5,820,78,148,225,225,144,27.6,72.4,820,78,148,225,225,144,27.6,72.4,427,820,196,120,70,32,9,515,315,61.2,0,36.2,17.5,46.3,16.5,13.3,21.3,197,592,,612,599,82.6,7.7,1.3,0.5,7.8,0
4780000,Francis W. Parker Charter Essential (District),Francis W. Parker Charter Essential (District),252,16.6,391,1.8,2.6,4.1,87.2,0,0,4.4,14,2,6,3,1,2,57.1,42.9,14,2,6,3,1,2,57.1,42.9,11,14,8,3,0,0,0,51,39,76.5,0,43.6,15.4,41,12.8,10.3,12.8,64,604,,554,53,92.5,5.7,0,1.9,0,0
1010000,Franklin,Franklin,"2,707",15.4,"4,847",2.1,6.1,4.9,84.1,0.1,0.6,2,"1,022",125,186,269,286,156,30.4,69.6,"1,022",125,186,269,286,156,30.4,69.6,494,"1,022",225,114,88,40,27,424,363,85.6,0,42.4,5,52.6,4.7,10.5,19.3,531,580,,571,436,97,2.3,0,0,0.7,0
8180000,Franklin County Regional Vocational Technical,Franklin County Regional Vocational Technical,250,13,543,0.7,0,6.8,89,0.2,0.7,2.6,14,8,2,2,2,0,71.4,28.6,14,8,2,2,2,0,71.4,28.6,13,14,12,1,0,0,0,105,16,15.2,0,6.3,75,18.8,62.5,6.3,6.3,11,503,,514,117,86.3,5.1,1.7,0.9,6,0
6650000,Freetown-Lakeville,Freetown-Lakeville,"1,005",17,"2,603",2.1,0.7,2.3,92.4,0.1,0,2.5,336,39,78,104,84,31,34.8,65.2,336,39,78,104,84,31,34.8,65.2,174,336,67,63,33,11,0,176,122,69.3,0,33.6,13.1,53.3,13.1,18.9,18.9,90,575,,569,181,95.6,2.2,1.1,0,1.1,0
6700000,Frontier,Frontier,529,12,649,2.5,2.9,6.6,83.8,0,0.2,4,182,23,47,45,37,30,38.5,61.5,182,23,47,45,37,30,38.5,61.5,110,182,60,31,16,3,0,95,58,61.1,0,22.4,39.7,37.9,39.7,6.9,19,13,616,,596,101,92.1,5,0,0,3,0
1030000,Gardner,Gardner,700,16.7,"2,148",2.9,2.3,24.6,62.3,0.1,0,7.7,115,38,34,20,15,8,62.6,37.4,115,38,34,20,15,8,62.6,37.4,62,115,30,16,11,5,0,198,97,49,0,17.5,42.3,40.2,41.2,19.6,11.3,65,518,,510,209,83.3,8.1,0,0.5,8.1,0
6720000,Gateway,Gateway,555,12.6,758,0.5,0.3,6.1,91.3,0.3,0.1,1.5,50,6,12,17,11,4,36,64,50,6,12,17,11,4,36,64,28,50,18,4,1,4,1,54,30,55.6,0,40,16.7,43.3,16.7,23.3,10,13,583,,559,56,92.9,3.6,0,0,3.6,0
1050000,Georgetown,Georgetown,623,14.9,"1,223",0.8,1,2.4,93.7,0,0.2,2,117,3,12,33,39,30,12.8,87.2,117,3,12,33,39,30,12.8,87.2,66,117,31,22,10,3,0,109,90,82.6,0,41.1,14.4,44.4,14.4,2.2,12.2,114,577,,569,112,95.5,1.8,0,0,2.7,0
6740000,Gill-Montague,Gill-Montague,519,13.5,845,1.5,0.4,15.2,76,0.1,0.2,6.6,30,7,13,6,3,1,66.7,33.3,30,7,13,6,3,1,66.7,33.3,20,30,13,4,3,0,0,48,24,50,0,20.8,50,29.2,50,8.3,16.7,,,,,58,79.3,8.6,0,3.4,8.6,0
4960000,Global Learning Charter Public (District),,347,16.9,503,10.7,1.4,46.7,35.8,0.6,0,4.8,,,,,,,,,,,,,,,,,,,,,,,,29,21,72.4,0,0,33.3,66.7,33.3,14.3,52.4,13,538,,511,32,93.8,3.1,0,0,3.1,0
1070000,Gloucester,Gloucester,"1,446",13.1,"2,691",1.8,1.2,12.9,79.7,0.3,0.3,3.8,160,33,39,42,28,18,45,55,160,33,39,42,28,18,45,55,96,160,50,32,10,4,0,177,87,49.2,0,39.1,28.7,32.2,26.4,17.2,9.2,95,542,,532,190,83.7,9.5,0.5,0.5,5.8,0
1090000,Gosnold,,10,2.8,6,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100000,Grafton,Grafton,"1,948",16,"3,152",2.2,12.6,6,76,0.2,0.1,2.9,332,32,54,100,99,47,25.9,74.1,332,32,54,100,99,47,25.9,74.1,192,332,96,59,30,7,0,197,158,80.2,0,33.5,17.1,49.4,16.5,12,19.6,163,581,,588,212,91.5,3.3,0,0.5,4.7,0
1110000,Granby,Granby,390,14.1,715,0.1,1.3,10.4,83.9,0.3,0,4.1,64,7,27,23,5,2,53.1,46.9,64,7,27,23,5,2,53.1,46.9,39,64,20,14,4,1,0,56,43,76.8,0,27.9,39.5,32.6,39.5,14,16.3,34,554,,558,58,96.6,1.7,0,0,1.7,0
8210000,Greater Fall River Regional Vocational Technical,Greater Fall River Regional Vocational Technical,860,16,"1,439",3.3,2.2,12.2,75.5,0.7,0,6.1,78,41,25,10,2,0,84.6,15.4,78,41,25,10,2,0,84.6,15.4,61,78,45,15,1,0,0,324,141,43.5,0,17.7,55.3,27,53.9,2.8,19.1,57,525,,506,338,95.6,0.6,0.6,0.3,3,0
8230000,Greater Lawrence Regional Vocational Technical,,"1,787",13.7,"1,629",1.2,1.2,82,15.4,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,358,142,39.7,0,14.8,64.1,21.1,59.9,12,8.5,8,,,,368,96.2,2.2,0,0.5,1.1,0
8280000,Greater Lowell Regional Vocational Technical,Greater Lowell Regional Vocational Technical,"1,444",17.9,"2,286",5.2,17.2,36,38.4,0.2,0,3.1,131,42,45,32,10,2,66.4,33.6,131,42,45,32,10,2,66.4,33.6,105,131,82,21,1,1,0,489,163,33.3,0,17.2,46,36.8,45.4,5.5,27.6,37,504,,492,513,94.7,2.3,0.6,0.4,1.9,0
8250000,Greater New Bedford Regional Vocational Technical,Greater New Bedford Regional Vocational Technical,"1,986",15.1,"2,106",8,1.1,25.4,59.3,0.4,0.1,5.8,79,10,49,14,5,1,74.7,25.3,79,10,49,14,5,1,74.7,25.3,67,79,56,10,1,0,0,511,240,47,0,15,42.5,42.5,42.1,12.5,25,12,543,,533,546,91.6,1.6,0,0,6.4,0.4
1140000,Greenfield,Greenfield,722,16.3,"1,556",3,1.4,20.4,69.5,0.3,0,5.4,129,30,49,26,14,10,61.2,38.8,129,30,49,26,14,10,61.2,38.8,66,129,26,21,16,2,1,67,39,58.2,0,30.8,35.9,33.3,33.3,10.3,15.4,2,,,,73,90.4,5.5,0,2.7,1.4,0
39010000,Greenfield Commonwealth Virtual District,Greenfield Commonwealth Virtual District,340,18.6,"1,002",7.4,4.5,20.9,59.8,0.1,0.3,7.1,27,6,7,8,4,2,48.1,51.9,27,6,7,8,4,2,48.1,51.9,19,27,13,5,0,1,0,59,14,23.7,0,35.7,42.9,21.4,42.9,0,21.4,7,,,,118,38.1,20.3,0,5.1,36.4,0
6730000,Groton-Dunstable,Groton-Dunstable,"1,099",16.8,"2,274",1.1,7.1,3.5,84.7,0.3,0.1,3.3,370,23,70,110,102,65,25.1,74.9,370,23,70,110,102,65,25.1,74.9,198,370,78,76,36,8,0,183,160,87.4,0,39.4,12.5,48.1,11.3,6.3,20.6,264,600,,621,185,97.8,2.2,0,0,0,0
1170000,Hadley,Hadley,399,16.2,507,4.1,4.5,9.7,75.9,0.4,2.4,3,44,6,7,23,4,4,29.5,70.5,44,6,7,23,4,4,29.5,70.5,33,44,25,5,3,0,0,30,24,80,0,29.2,29.2,41.7,29.2,8.3,12.5,14,595,,575,33,87.9,6.1,0,0,6.1,0
1180000,Halifax,,274,17.9,568,1.4,0,6,89.6,0.4,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
6750000,Hamilton-Wenham,Hamilton-Wenham,"1,221",11.8,"1,683",0.5,3.7,5.2,87.8,0,0.2,2.7,219,38,45,61,53,22,37.9,62.1,219,38,45,61,53,22,37.9,62.1,133,219,74,40,14,3,2,146,119,81.5,0,57.1,5.9,37,5,1.7,10.9,124,592,,587,143,97.2,1.4,0.7,0,0.7,0
4990000,Hampden Charter School of Science East (District),Hampden Charter School of Science East (District),252,19,536,30.8,2.2,36.9,26.1,0.6,0,3.4,200,55,48,59,32,6,51.5,48.5,200,55,48,59,32,6,51.5,48.5,115,200,58,34,18,5,0,48,39,81.3,0,53.8,15.4,30.8,15.4,23.1,7.7,42,538,,532,48,95.8,4.2,0,0,0,0
35160000,Hampden Charter School of Science West (District),Hampden Charter School of Science West (District),162,17.4,327,16.2,1.2,33.9,47.1,0,0,1.5,2,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800000,Hampden-Wilbraham,Hampden-Wilbraham,"1,154",17.9,"2,892",3,2.4,8.6,82.4,0.2,0.1,3.4,274,15,48,85,83,43,23,77,274,15,48,85,83,43,23,77,156,274,78,45,28,3,2,259,207,79.9,0,46.4,29.5,24.2,24.6,8.2,5.3,290,557,,566,266,96.2,0.4,0,0.8,2.6,0
6830000,Hampshire,Hampshire,576,11.2,684,0.3,1.3,4.1,91.2,0.2,0,2.9,169,28,47,49,32,13,44.4,55.6,169,28,47,49,32,13,44.4,55.6,110,169,71,27,6,4,2,119,86,72.3,0,22.1,41.9,36,41.9,10.5,9.3,53,604,,576,124,93.5,0,0,2.4,4,0
1210000,Hancock,,76,7,56,3.6,3.6,1.8,89.3,0,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220000,Hanover,Hanover,"1,468",17.7,"2,641",1.3,2.3,2.4,93.3,0,0,0.6,494,54,138,148,113,41,38.9,61.1,494,54,138,148,113,41,38.9,61.1,259,494,124,74,39,11,11,190,154,81.1,0,48.7,7.8,43.5,7.1,12.3,14.9,208,561,,558,190,96.8,2.6,0,0,0.5,0
1250000,Harvard,Harvard,600,14.2,"1,008",2.4,12.6,4.5,75.9,0,0,4.7,257,6,27,58,68,98,12.8,87.2,257,6,27,58,68,98,12.8,87.2,129,257,58,35,20,13,3,87,74,85.1,0,56.8,1.4,41.9,1.4,4.1,21.6,80,632,,628,90,96.7,2.2,0,0,1.1,0
1270000,Hatfield,Hatfield,293,12.1,394,0.3,1,4.3,92.4,0,0,2,65,8,30,19,3,5,58.5,41.5,65,8,30,19,3,5,58.5,41.5,47,65,30,16,1,0,0,31,23,74.2,0,47.8,13,39.1,13,0,17.4,6,,,,32,96.9,0,0,0,3.1,0
1280000,Haverhill,Haverhill,"3,998",17.2,"7,848",5.2,1.8,40.9,49.7,0.2,0.1,2.1,483,104,145,131,75,28,51.6,48.4,483,104,145,131,75,28,51.6,48.4,275,483,142,78,38,14,3,413,235,56.9,0,28.5,34.9,36.6,34,6,17,110,547,,545,491,80.4,10.4,0.4,1,7.7,0
6850000,Hawlemont,,39,15.5,124,0,0,4.8,90.3,0.8,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4190000,Helen Y. Davis Leadership Academy Charter Public (District),,64,14.7,189,75.7,0,22.2,1.1,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4550000,Hill View Montessori Charter Public (District),,122,20.7,304,5.3,0.3,29.3,61.2,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500000,Hilltown Cooperative Charter Public (District),,53,25.7,218,0.9,2.8,3.2,79.8,0,0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310000,Hingham,Hingham,"2,293",13.4,"3,941",1.9,2.9,3.6,88.2,0.1,0,3.4,588,15,62,170,196,145,13.1,86.9,588,15,62,170,196,145,13.1,86.9,304,588,131,85,70,14,4,309,256,82.8,0,56.6,6.3,37.1,6.3,3.9,10.2,365,619,,615,311,98.4,1.3,0,0.3,0,0
1330000,Holbrook,Holbrook,695,15.3,"1,281",21.6,5.9,14.4,50.1,0.3,0,7.7,74,7,33,18,10,6,54.1,45.9,74,7,33,18,10,6,54.1,45.9,41,74,23,7,7,4,0,71,47,66.2,0,29.8,21.3,48.9,19.1,8.5,38.3,4,,,,81,88.9,4.9,1.2,2.5,2.5,0
1350000,Holland,,79,15.3,202,1,1.5,7.9,87.1,0.5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360000,Holliston,Holliston,"1,210",21.7,"2,776",1.2,9.6,5.4,80.6,0.3,0.2,2.8,452,67,103,117,98,67,37.6,62.4,452,67,103,117,98,67,37.6,62.4,254,452,121,80,42,10,1,225,178,79.1,0,57.9,4.5,37.6,3.4,5.6,11.8,204,601,,601,229,96.1,3.5,0,0,0.4,0
1370000,Holyoke,Holyoke,"2,310",17.1,"5,095",3.3,0.6,80.8,13.9,0.1,0,1.4,109,44,35,13,10,7,72.5,27.5,109,44,35,13,10,7,72.5,27.5,71,109,44,18,7,2,0,305,111,36.4,0,29.7,42.3,27.9,39.6,15.3,3.6,30,542,,493,383,72.1,10.7,3.4,1.3,12.5,0
4530000,Holyoke Community Charter (District),,184,22.8,701,0.7,1,92.7,3.7,0,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6030000,Hoosac Valley Regional,Hoosac Valley Regional,565,14.6,980,3,0.6,3,91.1,0.2,0,2.1,120,41,47,22,8,2,73.3,26.7,120,41,47,22,8,2,73.3,26.7,76,120,47,14,15,0,0,67,41,61.2,0,46.3,12.2,41.5,9.8,19.5,7.3,30,525,,531,75,84,8,1.3,0,6.7,0
1380000,Hopedale,Hopedale,733,12.8,"1,094",1.1,1.8,9.5,82.5,0.2,0.2,4.8,156,21,31,49,39,16,33.3,66.7,156,21,31,49,39,16,33.3,66.7,97,156,59,22,12,3,1,69,58,84.1,0,25.9,5.2,69,1.7,31,13.8,81,583,,565,73,93.2,1.4,2.7,1.4,1.4,0
1390000,Hopkinton,Hopkinton,"2,249",19.7,"3,974",0.7,24.1,4.1,66.6,0.3,0,4.2,"1,087",33,78,267,374,335,10.2,89.8,"1,087",33,78,267,374,335,10.2,89.8,498,"1,087",192,131,94,55,26,295,249,84.4,0,49.8,1.6,48.6,1.6,6.4,17.7,344,625,,640,297,98.7,1.3,0,0,0,0
1410000,Hudson,Hudson,"1,414",15.4,"2,432",2.3,1.6,15.3,77.8,0.2,0,2.9,193,35,59,48,36,15,48.7,51.3,193,35,59,48,36,15,48.7,51.3,125,193,68,46,11,0,0,179,126,70.4,0,43.7,15.1,41.3,12.7,15.9,16.7,150,558,,538,192,90.1,5.7,0,1,3.1,0
1420000,Hull,Hull,525,10.1,812,1.5,1.4,4.3,90.3,0.1,0,2.5,107,10,35,21,31,10,42.1,57.9,107,10,35,21,31,10,42.1,57.9,56,107,28,12,11,4,1,73,46,63,0,30.4,10.9,58.7,10.9,17.4,26.1,47,575,,550,72,95.8,1.4,0,1.4,1.4,0
4350000,Innovation Academy Charter (District),Innovation Academy Charter (District),658,12.4,787,8.3,8.5,11.2,67.1,0.1,0,4.8,5,,,,,,,,5,,,,,,,,5,,,,,,,83,63,75.9,0,49.2,15.9,34.9,15.9,11.1,20.6,17,672,,702,88,92,5.7,0,0,2.3,0
1440000,Ipswich,Ipswich,"1,017",15.1,"1,604",1.3,1.3,7.1,86.3,0.1,0,4,266,9,48,63,66,80,21.4,78.6,266,9,48,63,66,80,21.4,78.6,121,266,44,31,30,10,6,133,93,69.9,0,45.2,11.8,43,11.8,7.5,19.4,145,575,,572,142,90.8,4.2,0,0,4.9,0
4630000,KIPP Academy Boston Charter School (District),,127,31.9,620,65.2,0,32.9,0.5,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4290000,KIPP Academy Lynn Charter (District),KIPP Academy Lynn Charter (District),483,24.3,"1,611",18.3,3.3,69.9,5.7,0.2,0.1,2.6,155,72,53,21,4,5,80.6,19.4,155,72,53,21,4,5,80.6,19.4,101,155,58,33,9,1,0,112,77,68.8,0,27.3,14.3,58.4,14.3,26,29.9,2,,,,109,98.2,0,0,0,1.8,0
6900000,King Philip,King Philip,815,18,"1,943",2.3,2.6,4.6,87.8,0.2,0,2.5,827,50,184,224,227,142,28.3,71.7,827,50,184,224,227,142,28.3,71.7,378,827,139,100,85,40,14,328,269,82,0,50.6,6.7,42.8,5.2,8.9,16,461,576,,556,345,93.6,4.1,0.3,0,2,0
1450000,Kingston,,402,19.9,"1,028",0.5,0.6,2.5,95.3,0.3,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
1490000,Lawrence,Lawrence,"6,805",17.9,"13,204",1.3,1.2,93.8,3.2,0,0,0.4,362,182,94,41,25,20,76.2,23.8,362,182,94,41,25,20,76.2,23.8,210,362,105,75,16,11,3,759,347,45.7,0.3,19.6,55.6,24.5,53.9,4,18.4,13,537,,541,984,72.8,12,5.9,0.5,8.8,0
4540000,Lawrence Family Development Charter (District),,406,19.1,795,0.4,0.1,98.6,0.9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
