district_name_x,district_code,total_#_of_classes,average_class_size,number_of_students,african_american_%,asian_%,hispanic_%,white_%,native_american_%,"native_hawaiian,_pacific_islander_%","multi-race,_non-hispanic_%",district_name_y,tests_taken_x,score=1,score=2,score=3,score=4,score=5,%_score_1-2,%_score_3-5,district_name_x,tests_takers,tests_taken_y,one_test,two_tests,three_tests,four_tests,five_or_more_tests,district_name_y,high_school_graduates_(#),attending_coll./univ._(#),attending_coll./univ._(%),private_two-year_(%),private_four-year_(%),public_two-year_(%),public_four-year_(%),ma_community_college_(%),ma_state_university_(%),univ.of_mass._(%),district_name_x,tests_taken,reading_/_writing,writing,math,district_name_y,#_in_cohort,%_graduated,%_still_in_school,%_non-grad_completers,%_h.s._equiv.,%_dropped_out,%_permanently_excluded
Central Berkshire,6350000,     713,15.3,"      1,498",0.5,0.7,4.5,89.7,0.2,0.0,4.4,Central Berkshire,     167,      45,      65,      37,      14,       6,65.9,34.1,Central Berkshire,     105,     167,      60,      30,      13,       2,       0,Central Berkshire,114.0,77.0,67.5,0.0,33.8,26.0,40.3,22.1,18.2,13.0,Central Berkshire,      56,523.0,,533.0,Central Berkshire,       121,93.4,1.7,0.0,0.0,5.0,0.0
Chelmsford,560000,"   2,237",19.1,"      4,925",4.0,16.7,7.7,67.7,0.2,0.1,3.6,Chelmsford,     460,      37,      99,     140,     114,      70,29.6,70.4,Chelmsford,     260,     460,     128,      83,      35,      11,       3,Chelmsford,364.0,298.0,81.9,0.0,40.9,8.4,50.7,8.4,9.4,24.5,Chelmsford,     326,574.0,,579.0,Chelmsford,       367,97.3,1.9,0.0,0.0,0.8,0.0
Chelsea,570000,"   2,758",14.6,"      6,112",4.3,0.1,88.1,6.1,0.2,0.0,1.2,Chelsea,     166,      53,      59,      35,      16,       3,67.5,32.5,Chelsea,     125,     166,      89,      31,       5,       0,       0,Chelsea,324.0,106.0,32.7,0.0,12.3,66.0,21.7,64.2,6.6,14.2,Chelsea,      22,523.0,,520.0,Chelsea,       415,66.3,19.3,0.0,0.7,13.7,0.0
Chesterfield-Goshen,6320000,      52,15.1,        119,0.8,0.0,2.5,94.1,1.7,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicopee,610000,"   3,270",14.1,"      6,855",4.6,2.0,41.2,48.7,0.0,0.1,3.3,Chicopee,     389,     128,     136,      61,      47,      17,67.9,32.1,Chicopee,     214,     389,     117,      45,      37,       8,       7,Chicopee,488.0,237.0,48.6,0.0,35.4,41.8,22.8,41.4,10.5,8.0,Chicopee,     110,559.0,,546.0,Chicopee,       553,85.2,4.9,0.2,1.1,8.7,0.0
Christa McAuliffe Charter Public (District),4180000,     173,20.7,        400,7.3,9.8,32.0,45.3,0.3,0.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City on a Hill Charter Public School Circuit Street (District),4370000,      89,18.3,        275,65.1,0.0,32.4,1.8,0.0,0.0,0.7,City on a Hill Charter Public School Circuit Street (District),      50,      45,       5,       0,       0,       0,100.0,0.0,City on a Hill Charter Public School Circuit Street (District),      28,      50,      13,       8,       7,       0,       0,City on a Hill Charter Public School Circuit Street (District),47.0,34.0,72.3,0.0,70.6,8.8,20.6,8.8,11.8,8.8,City on a Hill Charter Public School Circuit Street (District),       8,,,,City on a Hill Charter Public School Circuit Street (District),        58,65.5,32.8,0.0,0.0,1.7,0.0
Clarksburg,630000,      98,16.1,        192,0.0,0.5,2.6,95.3,0.0,0.0,1.6,,,,,,,,,,,,,,,,,,Clarksburg,1.0,,,,,,,,,,,,,,,,,,,,,,
Clinton,640000,     850,15.8,"      1,848",2.9,1.1,33.3,60.3,0.0,0.1,2.4,Clinton,      98,      35,      40,      15,       4,       4,76.5,23.5,Clinton,      60,      98,      34,      17,       7,       1,       1,Clinton,104.0,64.0,61.5,0.0,32.8,17.2,50.0,17.2,18.8,18.8,Clinton,      72,525.0,,498.0,Clinton,       112,89.3,4.5,0.0,0.9,5.4,0.0
Codman Academy Charter Public (District),4380000,     127,16.9,        343,77.6,0.0,21.0,0.3,0.3,0.0,0.9,Codman Academy Charter Public (District),      18,      17,       1,       0,       0,       0,100.0,0.0,Codman Academy Charter Public (District),      14,      18,      11,       2,       1,       0,       0,Codman Academy Charter Public (District),33.0,24.0,72.7,0.0,37.5,8.3,54.2,8.3,16.7,37.5,Codman Academy Charter Public (District),      29,418.0,,417.0,Codman Academy Charter Public (District),        29,93.1,3.4,0.0,0.0,3.4,0.0
Cohasset,650000,     901,16.3,"      1,444",2.8,1.9,1.4,91.8,0.2,0.0,1.9,Cohasset,     400,      30,      83,     112,     108,      67,28.3,71.8,Cohasset,     192,     400,      63,      64,      51,      14,       0,Cohasset,118.0,99.0,83.9,0.0,58.6,1.0,40.4,1.0,0.0,12.1,Cohasset,     116,616.0,,585.0,Cohasset,       121,97.5,2.5,0.0,0.0,0.0,0.0
Collegiate Charter School of Lowell (District),35030000,     335,27.1,"      1,003",20.3,27.8,32.5,15.4,0.5,0.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Charter School of Cambridge (District),4360000,      84,21.1,        306,70.9,4.3,15.0,4.9,0.3,0.0,4.6,Community Charter School of Cambridge (District),      88,      35,      26,      15,      10,       2,69.3,30.7,Community Charter School of Cambridge (District),      49,      88,      22,      17,       8,       2,       0,Community Charter School of Cambridge (District),47.0,37.0,78.7,0.0,54.1,2.7,43.2,2.7,16.2,24.3,Community Charter School of Cambridge (District),       4,,,,Community Charter School of Cambridge (District),        46,100.0,0.0,0.0,0.0,0.0,0.0
Community Day Charter Public School - Gateway (District),4260000,     120,20.0,        399,1.3,0.5,95.5,2.3,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Day Charter Public School - Prospect (District),4400000,     114,21.1,        400,0.8,0.0,97.3,1.8,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Day Charter Public School - R. Kingman Webster (District),4310000,     120,20.4,        404,1.2,1.0,94.6,2.7,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord,670000,"   1,358",16.4,"      2,027",4.7,7.7,7.1,73.9,0.1,0.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord-Carlisle,6400000,     536,19.5,"      1,316",4.6,7.8,5.0,76.6,0.2,0.0,5.9,Concord-Carlisle,     512,       5,      32,      94,     173,     208,7.2,92.8,Concord-Carlisle,     274,     512,     125,      78,      57,      10,       4,Concord-Carlisle,300.0,230.0,76.7,0.0,64.8,5.7,29.6,5.7,1.3,7.8,Concord-Carlisle,     375,639.0,,647.0,Concord-Carlisle,       296,98.3,1.4,0.0,0.3,0.0,0.0
Conservatory Lab Charter (District),4390000,     174,16.8,        447,48.6,1.8,41.4,5.2,0.2,0.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conway,680000,      93,14.5,        130,0.8,0.0,4.6,92.3,0.0,0.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danvers,710000,"   2,116",16.8,"      3,327",2.3,2.4,9.1,83.6,0.1,0.0,2.6,Danvers,     361,      70,      90,     101,      69,      31,44.3,55.7,Danvers,     186,     361,      84,      61,      22,      10,       9,Danvers,230.0,163.0,70.9,0.0,39.3,14.7,46.0,14.7,13.5,11.0,Danvers,     145,549.0,,530.0,Danvers,       237,95.8,3.0,0.0,0.4,0.8,0.0
Dartmouth,720000,"   1,905",16.4,"      3,431",1.8,0.6,5.5,85.5,0.0,0.0,6.7,Dartmouth,     600,      44,     179,     202,     120,      55,37.2,62.8,Dartmouth,     283,     600,     111,      78,      56,      27,      11,Dartmouth,252.0,203.0,80.6,0.0,29.1,17.2,53.7,16.3,8.9,28.1,Dartmouth,     113,572.0,,559.0,Dartmouth,       268,91.8,4.9,0.0,0.0,3.4,0.0
Dedham,730000,"   1,236",14.7,"      2,564",7.4,2.2,16.4,68.6,0.0,0.0,5.3,Dedham,     333,      68,      86,      99,      51,      29,46.2,53.8,Dedham,     209,     333,     127,      56,      15,       7,       4,Dedham,199.0,149.0,74.9,0.0,40.3,13.4,46.3,12.8,12.1,22.8,Dedham,      92,578.0,,586.0,Dedham,       205,93.2,3.9,0.0,0.0,2.9,0.0
Deerfield,740000,     265,13.4,        315,0.3,0.3,6.7,84.4,0.0,0.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis-Yarmouth,6450000,"   1,454",12.6,"      2,788",10.4,2.7,13.2,65.0,1.9,0.2,6.6,Dennis-Yarmouth,     268,      31,      65,      86,      55,      31,35.8,64.2,Dennis-Yarmouth,     139,     268,      57,      45,      27,      10,       0,Dennis-Yarmouth,191.0,112.0,58.6,0.0,27.7,32.1,40.2,32.1,13.4,16.1,Dennis-Yarmouth,      56,558.0,,531.0,Dennis-Yarmouth,       199,92.5,3.0,0.0,0.5,4.0,0.0
Dighton-Rehoboth,6500000,"   1,406",18.8,"      2,616",1.6,1.3,4.4,88.8,0.1,0.0,3.7,Dighton-Rehoboth,     247,      28,      59,      68,      68,      24,35.2,64.8,Dighton-Rehoboth,     118,     247,      46,      35,      22,      10,       5,Dighton-Rehoboth,176.0,123.0,69.9,0.0,39.0,19.5,41.5,18.7,8.1,18.7,Dighton-Rehoboth,     219,549.0,,537.0,Dighton-Rehoboth,       190,92.1,4.2,1.1,0.0,2.6,0.0
Douglas,770000,     564,18.1,"      1,181",0.7,0.8,5.3,89.8,0.0,0.2,3.3,Douglas,     138,      26,      46,      43,      13,      10,52.2,47.8,Douglas,      64,     138,      23,      16,      18,       6,       1,Douglas,98.0,68.0,69.4,0.0,32.4,20.6,47.1,19.1,22.1,11.8,Douglas,      46,560.0,,535.0,Douglas,       109,89.0,7.3,0.0,0.9,2.8,0.0
Dover,780000,     164,17.4,        491,3.3,14.9,4.1,72.7,0.0,0.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover-Sherborn,6550000,     679,16.9,"      1,181",3.1,11.6,5.0,73.8,0.3,0.0,6.3,Dover-Sherborn,     550,       2,      29,     148,     179,     192,5.6,94.4,Dover-Sherborn,     220,     550,      42,      78,      62,      26,      12,Dover-Sherborn,166.0,131.0,78.9,0.0,77.1,0.8,22.1,0.8,3.1,6.9,Dover-Sherborn,     206,631.0,,642.0,Dover-Sherborn,       168,96.4,3.6,0.0,0.0,0.0,0.0
Dracut,790000,"   2,220",14.5,"      3,675",7.4,7.9,12.3,70.3,0.3,0.0,1.9,Dracut,     184,      25,      63,      45,      37,      14,47.8,52.2,Dracut,     122,     184,      78,      30,      11,       2,       1,Dracut,197.0,145.0,73.6,0.0,33.8,23.4,42.8,22.8,10.3,25.5,Dracut,     157,519.0,,512.0,Dracut,       211,92.4,4.3,1.9,0.0,1.4,0.0
Dudley Street Neighborhood Charter School (District),4070000,      15,21.0,        277,61.7,0.7,33.6,2.9,0.4,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley-Charlton Reg,6580000,"   1,629",17.1,"      3,474",1.7,1.0,9.7,84.3,0.2,0.1,3.1,Dudley-Charlton Reg,     476,     101,     138,     141,      55,      41,50.2,49.8,Dudley-Charlton Reg,     265,     476,     132,      74,      43,      13,       3,Dudley-Charlton Reg,269.0,195.0,72.5,0.0,42.1,19.5,38.5,16.9,17.9,11.3,Dudley-Charlton Reg,     218,568.0,,569.0,Dudley-Charlton Reg,       274,94.9,1.5,0.0,0.7,2.9,0.0
Duxbury,820000,"   1,444",19.0,"      2,810",0.5,1.3,2.6,91.7,0.1,0.0,3.8,Duxbury,     682,      82,     140,     179,     172,     109,32.6,67.4,Duxbury,     323,     682,     130,      84,      65,      32,      12,Duxbury,255.0,207.0,81.2,0.0,54.6,1.4,44.0,1.0,2.9,14.5,Duxbury,     344,592.0,,572.0,Duxbury,       256,99.2,0.8,0.0,0.0,0.0,0.0
East Bridgewater,830000,"   1,107",19.0,"      2,126",4.5,0.8,3.7,87.5,0.5,0.1,3.0,East Bridgewater,     285,      57,     119,      54,      38,      17,61.8,38.2,East Bridgewater,     136,     285,      40,      55,      29,      12,       0,East Bridgewater,169.0,124.0,73.4,0.0,31.5,13.7,54.8,13.7,21.8,21.8,East Bridgewater,      75,556.0,,521.0,East Bridgewater,       167,98.8,1.2,0.0,0.0,0.0,0.0
East Longmeadow,870000,"   1,288",17.4,"      2,426",3.5,5.9,9.8,77.4,0.0,0.0,3.4,East Longmeadow,     257,      27,      53,      78,      61,      38,31.1,68.9,East Longmeadow,     155,     257,      84,      42,      27,       2,       0,East Longmeadow,222.0,156.0,70.3,0.6,48.7,26.3,24.4,22.4,6.4,10.9,East Longmeadow,     115,569.0,,572.0,East Longmeadow,       227,97.4,0.9,0.0,0.0,1.8,0.0
Eastham,850000,     190,10.2,        194,8.3,2.1,5.7,76.3,0.0,0.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easthampton,860000,     521,20.2,"      1,453",1.4,3.2,14.0,77.1,0.3,0.1,3.9,Easthampton,     154,      44,      52,      33,      18,       7,62.3,37.7,Easthampton,     115,     154,      84,      23,       8,       0,       0,Easthampton,118.0,73.0,61.9,0.0,28.8,50.7,20.5,46.6,13.7,1.4,Easthampton,      33,534.0,,504.0,Easthampton,       124,91.1,2.4,3.2,0.0,3.2,0.0
Easton,880000,"   1,257",18.0,"      3,454",7.3,3.4,6.9,78.1,0.4,0.1,3.9,Easton,     529,      64,     136,     149,     112,      68,37.8,62.2,Easton,     267,     529,     108,      90,      45,      17,       7,Easton,260.0,217.0,83.5,0.0,41.0,5.5,53.5,5.5,13.8,20.7,Easton,     340,577.0,,567.0,Easton,       275,94.5,4.7,0.0,0.0,0.7,0.0
Edgartown,890000,     353,13.4,        393,3.3,0.5,20.9,68.2,2.5,0.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,     212,19.9,        401,37.7,1.3,55.6,2.7,0.3,0.0,2.5,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),      73,      48,      24,       1,       0,       0,98.6,1.4,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),      62,      73,      51,      11,       0,       0,       0,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),83.0,62.0,74.7,0.0,22.6,40.3,37.1,40.3,6.5,25.8,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),      87,429.0,,425.0,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),        84,97.6,2.4,0.0,0.0,0.0,0.0
Erving,910000,      36,12.4,        113,0.0,0.0,6.2,84.1,0.0,0.0,9.7,,,,,,,,,,,,,,,,,,Erving,1.0,,,,,,,,,,,,,,,,,,,,,,
Essex North Shore Agricultural and Technical School District,8170000,"   1,150",16.9,"      1,566",1.6,1.7,13.2,79.3,0.3,0.1,3.9,Essex North Shore Agricultural and Technical School District,     149,      21,      34,      49,      30,      15,36.9,63.1,Essex North Shore Agricultural and Technical School District,     113,     149,      82,      26,       5,       0,       0,Essex North Shore Agricultural and Technical School District,332.0,201.0,60.5,0.0,38.3,15.4,46.3,13.9,15.4,14.4,Essex North Shore Agricultural and Technical School District,     203,544.0,,519.0,Essex North Shore Agricultural and Technical School District,       333,99.7,0.0,0.0,0.3,0.0,0.0
Everett,930000,"   3,499",20.0,"      7,204",14.9,5.5,60.2,17.6,0.3,0.1,1.5,Everett,     355,     134,     110,      66,      33,      12,68.7,31.3,Everett,     221,     355,     125,      64,      27,       4,       1,Everett,424.0,190.0,44.8,0.0,35.3,18.9,45.8,18.4,16.8,27.9,Everett,      52,510.0,,495.0,Everett,       550,75.5,7.5,5.5,0.0,11.6,0.0
Excel Academy Charter (District),4100000,     366,24.3,"      1,398",6.0,0.9,79.5,11.8,0.7,0.4,0.6,Excel Academy Charter (District),     602,     291,     175,      79,      36,      21,77.4,22.6,Excel Academy Charter (District),     310,     602,     123,     103,      64,      19,       1,Excel Academy Charter (District),145.0,97.0,66.9,0.0,44.3,11.3,44.3,11.3,13.4,29.9,Excel Academy Charter (District),     142,465.0,,474.0,Excel Academy Charter (District),       145,95.2,0.7,0.0,1.4,2.8,0.0
Fairhaven,940000,"   1,085",8.2,"      1,713",2.6,1.9,5.6,85.6,0.8,0.0,3.6,Fairhaven,     314,      19,      88,     104,      78,      25,34.1,65.9,Fairhaven,     180,     314,      76,      77,      24,       3,       0,Fairhaven,160.0,112.0,70.0,0.0,14.3,33.9,51.8,33.9,17.9,25.0,Fairhaven,      53,575.0,,591.0,Fairhaven,       164,95.1,2.4,0.0,0.0,2.4,0.0
Fall River,950000,"   5,358",14.3,"     10,333",9.5,3.5,30.0,48.0,0.1,0.1,8.9,Fall River,     487,     123,     154,     148,      52,      10,56.9,43.1,Fall River,     248,     487,     109,      71,      41,      22,       5,Fall River,467.0,194.0,41.5,0.0,17.0,47.9,35.1,47.4,13.4,17.5,Fall River,     154,518.0,,510.0,Fall River,       644,71.4,4.5,9.0,1.6,13.5,0.0
Falmouth,960000,"   1,717",14.8,"      3,019",5.1,1.8,7.6,78.0,0.9,0.0,6.6,Falmouth,     230,      36,      47,      66,      56,      25,36.1,63.9,Falmouth,     113,     230,      46,      33,      20,      12,       2,Falmouth,197.0,145.0,73.6,0.0,42.1,11.7,46.2,11.7,14.5,22.1,Falmouth,     110,583.0,,570.0,Falmouth,       219,90.0,2.7,0.0,1.8,5.5,0.0
Farmington River Reg,6620000,      76,13.8,        118,0.0,0.0,4.2,95.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitchburg,970000,"   2,455",18.6,"      5,193",6.3,4.3,55.9,25.8,0.0,0.0,7.7,Fitchburg,     494,     245,     134,      66,      35,      14,76.7,23.3,Fitchburg,     234,     494,     113,      41,      37,      28,      15,Fitchburg,383.0,124.0,32.4,0.0,18.5,33.9,47.6,33.9,31.5,11.3,Fitchburg,     105,520.0,,502.0,Fitchburg,       376,87.2,6.1,0.8,0.5,5.3,0.0
Florida,980000,      89,9.2,         86,2.3,0.0,0.0,97.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Rivers Charter Public (District),4130000,     187,17.2,        215,0.9,1.4,7.4,83.3,0.5,0.0,6.5,,,,,,,,,,,,,,,,,,Four Rivers Charter Public (District),31.0,18.0,58.1,0.0,27.8,44.4,27.8,44.4,11.1,11.1,,,,,,Four Rivers Charter Public (District),        37,83.8,2.7,0.0,5.4,8.1,0.0
Foxborough,990000,"   1,332",16.7,"      2,426",6.7,4.5,6.9,78.1,0.4,0.1,3.3,Foxborough,     426,      34,     107,     109,     110,      66,33.1,66.9,Foxborough,     206,     426,      85,      51,      47,      17,       6,Foxborough,208.0,165.0,79.3,0.0,41.2,8.5,49.1,7.3,12.1,15.2,Foxborough,     198,554.0,,568.0,Foxborough,       216,95.8,3.7,0.0,0.0,0.5,0.0
Foxborough Regional Charter (District),4460000,     687,20.2,"      1,687",51.7,9.7,6.1,27.2,0.1,0.2,5.0,Foxborough Regional Charter (District),     176,      27,      45,      54,      39,      11,40.9,59.1,Foxborough Regional Charter (District),     106,     176,      54,      35,      16,       1,       0,Foxborough Regional Charter (District),63.0,51.0,81.0,0.0,35.3,23.5,41.2,21.6,5.9,25.5,Foxborough Regional Charter (District),      50,560.0,,534.0,Foxborough Regional Charter (District),        61,100.0,0.0,0.0,0.0,0.0,0.0
Framingham,1000000,"   6,754",12.4,"      8,862",6.9,4.4,37.9,46.3,0.1,0.1,4.5,Framingham,     820,      78,     148,     225,     225,     144,27.6,72.4,Framingham,     427,     820,     196,     120,      70,      32,       9,Framingham,515.0,315.0,61.2,0.0,36.2,17.5,46.3,16.5,13.3,21.3,Framingham,     197,592.0,,612.0,Framingham,       599,82.6,7.7,1.3,0.5,7.8,0.0
Francis W. Parker Charter Essential (District),4780000,     252,16.6,        391,1.8,2.6,4.1,87.2,0.0,0.0,4.4,Francis W. Parker Charter Essential (District),      14,       2,       6,       3,       1,       2,57.1,42.9,Francis W. Parker Charter Essential (District),      11,      14,       8,       3,       0,       0,       0,Francis W. Parker Charter Essential (District),51.0,39.0,76.5,0.0,43.6,15.4,41.0,12.8,10.3,12.8,Francis W. Parker Charter Essential (District),      64,604.0,,554.0,Francis W. Parker Charter Essential (District),        53,92.5,5.7,0.0,1.9,0.0,0.0
Franklin,1010000,"   2,707",15.4,"      4,847",2.1,6.1,4.9,84.1,0.1,0.6,2.0,Franklin,"   1,022",     125,     186,     269,     286,     156,30.4,69.6,Franklin,     494,"   1,022",     225,     114,      88,      40,      27,Franklin,424.0,363.0,85.6,0.0,42.4,5.0,52.6,4.7,10.5,19.3,Franklin,     531,580.0,,571.0,Franklin,       436,97.0,2.3,0.0,0.0,0.7,0.0
Franklin County Regional Vocational Technical,8180000,     250,13.0,        543,0.7,0.0,6.8,89.0,0.2,0.7,2.6,Franklin County Regional Vocational Technical,      14,       8,       2,       2,       2,       0,71.4,28.6,Franklin County Regional Vocational Technical,      13,      14,      12,       1,       0,       0,       0,Franklin County Regional Vocational Technical,105.0,16.0,15.2,0.0,6.3,75.0,18.8,62.5,6.3,6.3,Franklin County Regional Vocational Technical,      11,503.0,,514.0,Franklin County Regional Vocational Technical,       117,86.3,5.1,1.7,0.9,6.0,0.0
Freetown-Lakeville,6650000,"   1,005",17.0,"      2,603",2.1,0.7,2.3,92.4,0.1,0.0,2.5,Freetown-Lakeville,     336,      39,      78,     104,      84,      31,34.8,65.2,Freetown-Lakeville,     174,     336,      67,      63,      33,      11,       0,Freetown-Lakeville,176.0,122.0,69.3,0.0,33.6,13.1,53.3,13.1,18.9,18.9,Freetown-Lakeville,      90,575.0,,569.0,Freetown-Lakeville,       181,95.6,2.2,1.1,0.0,1.1,0.0
Frontier,6700000,     529,12.0,        649,2.5,2.9,6.6,83.8,0.0,0.2,4.0,Frontier,     182,      23,      47,      45,      37,      30,38.5,61.5,Frontier,     110,     182,      60,      31,      16,       3,       0,Frontier,95.0,58.0,61.1,0.0,22.4,39.7,37.9,39.7,6.9,19.0,Frontier,      13,616.0,,596.0,Frontier,       101,92.1,5.0,0.0,0.0,3.0,0.0
Gardner,1030000,     700,16.7,"      2,148",2.9,2.3,24.6,62.3,0.1,0.0,7.7,Gardner,     115,      38,      34,      20,      15,       8,62.6,37.4,Gardner,      62,     115,      30,      16,      11,       5,       0,Gardner,198.0,97.0,49.0,0.0,17.5,42.3,40.2,41.2,19.6,11.3,Gardner,      65,518.0,,510.0,Gardner,       209,83.3,8.1,0.0,0.5,8.1,0.0
Gateway,6720000,     555,12.6,        758,0.5,0.3,6.1,91.3,0.3,0.1,1.5,Gateway,      50,       6,      12,      17,      11,       4,36.0,64.0,Gateway,      28,      50,      18,       4,       1,       4,       1,Gateway,54.0,30.0,55.6,0.0,40.0,16.7,43.3,16.7,23.3,10.0,Gateway,      13,583.0,,559.0,Gateway,        56,92.9,3.6,0.0,0.0,3.6,0.0
Georgetown,1050000,     623,14.9,"      1,223",0.8,1.0,2.4,93.7,0.0,0.2,2.0,Georgetown,     117,       3,      12,      33,      39,      30,12.8,87.2,Georgetown,      66,     117,      31,      22,      10,       3,       0,Georgetown,109.0,90.0,82.6,0.0,41.1,14.4,44.4,14.4,2.2,12.2,Georgetown,     114,577.0,,569.0,Georgetown,       112,95.5,1.8,0.0,0.0,2.7,0.0
Gill-Montague,6740000,     519,13.5,        845,1.5,0.4,15.2,76.0,0.1,0.2,6.6,Gill-Montague,      30,       7,      13,       6,       3,       1,66.7,33.3,Gill-Montague,      20,      30,      13,       4,       3,       0,       0,Gill-Montague,48.0,24.0,50.0,0.0,20.8,50.0,29.2,50.0,8.3,16.7,,,,,,Gill-Montague,        58,79.3,8.6,0.0,3.4,8.6,0.0
Global Learning Charter Public (District),4960000,     347,16.9,        503,10.7,1.4,46.7,35.8,0.6,0.0,4.8,,,,,,,,,,,,,,,,,,Global Learning Charter Public (District),29.0,21.0,72.4,0.0,0.0,33.3,66.7,33.3,14.3,52.4,Global Learning Charter Public (District),      13,538.0,,511.0,Global Learning Charter Public (District),        32,93.8,3.1,0.0,0.0,3.1,0.0
Gloucester,1070000,"   1,446",13.1,"      2,691",1.8,1.2,12.9,79.7,0.3,0.3,3.8,Gloucester,     160,      33,      39,      42,      28,      18,45.0,55.0,Gloucester,      96,     160,      50,      32,      10,       4,       0,Gloucester,177.0,87.0,49.2,0.0,39.1,28.7,32.2,26.4,17.2,9.2,Gloucester,      95,542.0,,532.0,Gloucester,       190,83.7,9.5,0.5,0.5,5.8,0.0
Gosnold,1090000,      10,2.8,          6,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafton,1100000,"   1,948",16.0,"      3,152",2.2,12.6,6.0,76.0,0.2,0.1,2.9,Grafton,     332,      32,      54,     100,      99,      47,25.9,74.1,Grafton,     192,     332,      96,      59,      30,       7,       0,Grafton,197.0,158.0,80.2,0.0,33.5,17.1,49.4,16.5,12.0,19.6,Grafton,     163,581.0,,588.0,Grafton,       212,91.5,3.3,0.0,0.5,4.7,0.0
Granby,1110000,     390,14.1,        715,0.1,1.3,10.4,83.9,0.3,0.0,4.1,Granby,      64,       7,      27,      23,       5,       2,53.1,46.9,Granby,      39,      64,      20,      14,       4,       1,       0,Granby,56.0,43.0,76.8,0.0,27.9,39.5,32.6,39.5,14.0,16.3,Granby,      34,554.0,,558.0,Granby,        58,96.6,1.7,0.0,0.0,1.7,0.0
Greater Fall River Regional Vocational Technical,8210000,     860,16.0,"      1,439",3.3,2.2,12.2,75.5,0.7,0.0,6.1,Greater Fall River Regional Vocational Technical,      78,      41,      25,      10,       2,       0,84.6,15.4,Greater Fall River Regional Vocational Technical,      61,      78,      45,      15,       1,       0,       0,Greater Fall River Regional Vocational Technical,324.0,141.0,43.5,0.0,17.7,55.3,27.0,53.9,2.8,19.1,Greater Fall River Regional Vocational Technical,      57,525.0,,506.0,Greater Fall River Regional Vocational Technical,       338,95.6,0.6,0.6,0.3,3.0,0.0
Greater Lawrence Regional Vocational Technical,8230000,"   1,787",13.7,"      1,629",1.2,1.2,82.0,15.4,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,Greater Lawrence Regional Vocational Technical,358.0,142.0,39.7,0.0,14.8,64.1,21.1,59.9,12.0,8.5,Greater Lawrence Regional Vocational Technical,       8,,,,Greater Lawrence Regional Vocational Technical,       368,96.2,2.2,0.0,0.5,1.1,0.0
Greater Lowell Regional Vocational Technical,8280000,"   1,444",17.9,"      2,286",5.2,17.2,36.0,38.4,0.2,0.0,3.1,Greater Lowell Regional Vocational Technical,     131,      42,      45,      32,      10,       2,66.4,33.6,Greater Lowell Regional Vocational Technical,     105,     131,      82,      21,       1,       1,       0,Greater Lowell Regional Vocational Technical,489.0,163.0,33.3,0.0,17.2,46.0,36.8,45.4,5.5,27.6,Greater Lowell Regional Vocational Technical,      37,504.0,,492.0,Greater Lowell Regional Vocational Technical,       513,94.7,2.3,0.6,0.4,1.9,0.0
